spotify_id,scraper_name,chartmasters_name,scraper_image_url,mb_id,mb_type_raw,parsed_artist_type,gender,country,birth_date,death_date,disband_date,debut_year,member_count,genres,primary_genre,secondary_genre,is_dead,is_disbanded
3TVXtAsR1Inumwj472S9r4,Drake,Drake,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb4293385d324db8558179afd9,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Person,solo,male,CA,1986-10-24,,,2006,1,alternative r&b; contemporary r&b; hardcore hip hop; hip hop; pop; pop rap; r&b; trap,hip hop,r&b,FALSE,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Taylor Swift,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,20244d07-534f-4eff-b4d4-930878889970,Person,solo,female,US,1989-12-13,,,2006,1,alternative pop; contemporary country; country; country pop; electropop; indie folk; pop; pop rock; singer-songwriter; synth-pop,pop,country,FALSE,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,Bad Bunny,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,Person,solo,male,PR,1994-03-10,,,2016,1,hip hop; latin; reggaeton; trap latino,latin,hip hop,FALSE,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,The Weeknd,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb9e528993a2820267b97f6aae,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,Person,solo,male,CA,1990-02-16,,,2011,1,alternative r&b; contemporary r&b; dance-pop; hypnagogic pop; pop; r&b; synth-pop,pop,r&b,FALSE,
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Justin Bieber,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebaf20f7db5288bce9beede034,e0140a67-e4d1-4f13-8a01-364355bee46e,Person,solo,male,CA,1994-03-01,,,2009,1,dance-pop; pop; pop rap; r&b; teen pop,pop,,FALSE,
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Ariana Grande,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb6725802588d7dc1aba076ca5,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Person,solo,female,US,1993-06-26,,,2011,1,contemporary r&b; dance-pop; pop; r&b; trap soul,r&b,pop,FALSE,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Ed Sheeran,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebd55c95ad400aed87da52daec,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Person,solo,male,GB,1991-02-17,,,2011,1,dance-pop; folk; folk pop; persian pop; pop; singer-songwriter; soft rock,pop,alternative,FALSE,
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Travis Scott,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5eb19c2790744c792d05570bb71,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,Person,solo,male,US,1991-04-30,,,2013,1,experimental hip hop; hip hop; pop rap; southern hip hop; trap,hip hop,,FALSE,
7dGJo4pcD2V6oG8kP0tJRR,Eminem,Eminem,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eba00b11c129b27a88fc72f36b,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Person,solo,male,US,1972-10-17,,,1996,1,boom bap; conscious hip hop; hardcore hip hop; hip hop; horrorcore; pop rap; trap,hip hop,,FALSE,
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Kanye West,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb6e835a500e791bf9c27a422a,164f0d73-1234-4e2c-8743-d77bf2191051,Person,solo,male,US,1977-06-08,,,2003,1,chipmunk soul; christian hip hop; conscious hip hop; electropop; experimental hip hop; gospel; hip hop; pop; pop rap; trap,hip hop,pop,FALSE,
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Kendrick Lamar,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,381086ea-f511-4aba-bdf9-71c753dc5077,Person,solo,male,US,1987-06-17,,,2011,1,alternative hip hop; conscious hip hop; hardcore hip hop; hip hop; jazz rap; pop; pop rap; trap; west coast hip hop,hip hop,,FALSE,
